Index,A,B,R
0,147,147,0
1,214,214,0
2,212,212,0
3,19,19,0
4,245,245,0
5,35,35,0
6,45,45,0
7,8,8,0
8,246,246,0
9,99,99,0
10,194,194,0
11,148,148,0
12,183,183,0
13,219,219,0
14,225,225,0
15,232,232,0
16,214,214,0
17,251,251,0
18,163,163,0
19,208,208,0
20,24,24,0
21,84,84,0
22,200,200,0
23,86,86,0
24,128,128,0
25,30,30,0
26,83,83,0
27,120,120,0
28,208,208,0
29,197,197,0
30,213,213,0
31,195,195,0
32,85,85,0
33,102,102,0
34,252,252,0
35,94,94,0
36,124,124,0
37,124,124,0
38,27,27,0
39,66,66,0
40,3,3,0
41,14,14,0
42,52,52,0
43,23,23,0
44,134,134,0
45,132,132,0
46,208,208,0
47,248,248,0
48,253,253,0
49,143,143,0
50,178,178,0
51,148,148,0
52,99,99,0
53,59,59,0
54,49,49,0
55,90,90,0
56,108,108,0
57,138,138,0
58,35,35,0
59,39,39,0
60,2,2,0
61,177,177,0
62,161,161,0
63,115,115,0
64,102,102,0
65,49,49,0
66,85,85,0
67,205,205,0
68,234,234,0
69,230,230,0
70,5,5,0
71,203,203,0
72,181,181,0
73,39,39,0
74,55,55,0
75,107,107,0
76,238,238,0
77,124,124,0
78,45,45,0
79,84,84,0
80,223,223,0
81,238,238,0
82,42,42,0
83,218,218,0
84,4,4,0
85,193,193,0
86,106,106,0
87,81,81,0
88,79,79,0
89,55,55,0
90,138,138,0
91,123,123,0
92,71,71,0
93,234,234,0
94,131,131,0
95,25,25,0
96,81,81,0
97,159,159,0
98,21,21,0
99,50,50,0
100,4,4,0
101,186,186,0
102,222,222,0
103,39,39,0
104,43,43,0
105,102,102,0
106,95,95,0
107,22,22,0
108,124,124,0
109,139,139,0
110,194,194,0
111,137,137,0
112,246,246,0
113,19,19,0
114,42,42,0
115,46,46,0
116,55,55,0
117,139,139,0
118,1,1,0
119,81,81,0
120,219,219,0
121,226,226,0
122,215,215,0
123,231,231,0
124,164,164,0
125,29,29,0
126,89,89,0
127,228,228,0
128,218,218,0
129,27,27,0
130,116,116,0
131,183,183,0
132,35,35,0
133,58,58,0
134,187,187,0
135,47,47,0
136,131,131,0
137,22,22,0
138,8,8,0
139,57,57,0
140,121,121,0
141,75,75,0
142,19,19,0
143,20,20,0
144,137,137,0
145,242,242,0
146,236,236,0
147,120,120,0
148,144,144,0
149,172,172,0
150,33,33,0
151,175,175,0
152,182,182,0
153,143,143,0
154,28,28,0
155,89,89,0
156,251,251,0
157,110,110,0
158,146,146,0
159,170,170,0
160,136,136,0
161,242,242,0
162,207,207,0
163,143,143,0
164,8,8,0
165,113,113,0
166,42,42,0
167,64,64,0
168,106,106,0
169,112,112,0
170,52,52,0
171,161,161,0
172,108,108,0
173,79,79,0
174,4,4,0
175,61,61,0
176,222,222,0
177,91,91,0
178,79,79,0
179,83,83,0
180,60,60,0
181,158,158,0
182,58,58,0
183,177,177,0
184,216,216,0
185,206,206,0
186,26,26,0
187,20,20,0
188,33,33,0
189,43,43,0
190,28,28,0
191,68,68,0
192,229,229,0
193,251,251,0
194,191,191,0
195,25,25,0
196,161,161,0
197,5,5,0
198,54,54,0
199,101,101,0
200,108,108,0
201,15,15,0
202,6,6,0
203,120,120,0
204,211,211,0
205,209,209,0
206,41,41,0
207,236,236,0
208,132,132,0
209,152,152,0
210,117,117,0
211,64,64,0
212,67,67,0
213,15,15,0
214,69,69,0
215,121,121,0
216,5,5,0
217,185,185,0
218,252,252,0
219,154,154,0
220,113,113,0
221,17,17,0
222,152,152,0
223,35,35,0
224,8,8,0
225,170,170,0
226,0,0,0
227,115,115,0
228,251,251,0
229,249,249,0
230,201,201,0
231,185,185,0
232,92,92,0
233,94,94,0
234,114,114,0
235,17,17,0
236,86,86,0
237,44,44,0
238,54,54,0
239,174,174,0
240,154,154,0
241,80,80,0
242,71,71,0
243,178,178,0
244,195,195,0
245,179,179,0
246,199,199,0
247,146,146,0
248,100,100,0
249,149,149,0
250,180,180,0
251,49,49,0
252,95,95,0
253,22,22,0
254,135,135,0
255,95,95,0
256,189,189,0
257,204,204,0
258,121,121,0
259,121,121,0
260,9,9,0
261,112,112,0
262,226,226,0
263,225,225,0
264,177,177,0
265,232,232,0
266,187,187,0
267,179,179,0
268,189,189,0
269,83,83,0
270,47,47,0
271,199,199,0
272,223,223,0
273,68,68,0
274,233,233,0
275,206,206,0
276,238,238,0
277,31,31,0
278,158,158,0
279,78,78,0
280,22,22,0
281,21,21,0
282,11,11,0
283,78,78,0
284,75,75,0
285,136,136,0
286,173,173,0
287,177,177,0
288,198,198,0
289,141,141,0
290,96,96,0
291,88,88,0
292,231,231,0
293,122,122,0
294,25,25,0
295,254,254,0
296,106,106,0
297,18,18,0
298,227,227,0
299,9,9,0
300,106,106,0
301,204,204,0
302,252,252,0
303,145,145,0
304,198,198,0
305,27,27,0
306,216,216,0
307,69,69,0
308,137,137,0
309,138,138,0
310,0,0,0
311,143,143,0
312,67,67,0
